#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 03.10.2023 13:14:49;
10;
3202-RT401	-5	50	255,0,0;
3202-RT501	-5	50	0,64,0;
3203-RT401	-5	50	0,0,128;
3203-RT501	-5	50	128,0,128;
3201.RT402	-5	50	255,255,0;
3201.RT502	-5	50	255,128,128;
3501-RT403	-5	30	0,255,0;
3501-RT501	-5	50	0,0,255;
3501-RT404	-5	50	255,128,192;
3501-RT502	-5	30	255,255,128;

#!(s);Date;Time;3202-RT401;3202-RT501;3203-RT401;3203-RT501;3201.RT402;3201.RT502;3501-RT403;3501-RT501;3501-RT404;3501-RT502;
1690156860;24.07.2023;00:01:00;20;20;20;21;21;21;21;21;21;21;
1690160460;24.07.2023;01:01:00;20;20;20;21;21;21;21;21;21;21;
1690164060;24.07.2023;02:01:00;20;20;20;21;21;21;21;21;21;21;
1690167660;24.07.2023;03:01:00;20;20;20;21;21;21;21;21;21;21;
1690171260;24.07.2023;04:01:00;20;20;20;21;20;21;21;21;21;21;
1690174860;24.07.2023;05:01:00;20;20;20;21;20;21;21;21;21;21;
1690178460;24.07.2023;06:01:00;20;20;20;21;20;21;21;21;21;21;
1690182060;24.07.2023;07:01:00;20;20;20;21;20;21;21;21;21;21;
1690185660;24.07.2023;08:01:00;20;20;20;21;20;21;21;21;21;21;
1690189260;24.07.2023;09:01:00;20;20;20;21;20;21;21;21;21;21;
1690192860;24.07.2023;10:01:00;20;20;20;21;20;21;21;21;21;21;
1690196460;24.07.2023;11:01:00;20;20;20;21;20;21;21;21;21;21;
1690200060;24.07.2023;12:01:00;20;20;20;21;20;21;21;21;21;21;
1690203660;24.07.2023;13:01:00;20;20;20;21;20;21;21;21;21;21;
1690207260;24.07.2023;14:01:00;20;20;20;21;20;21;21;21;21;21;
1690210860;24.07.2023;15:01:00;20;20;20;21;20;21;21;21;21;21;
1690214460;24.07.2023;16:01:00;20;20;20;21;20;21;21;21;21;21;
1690218060;24.07.2023;17:01:00;20;20;20;21;20;21;21;21;21;21;
1690221660;24.07.2023;18:01:00;20;20;20;21;20;21;21;21;21;21;
1690225260;24.07.2023;19:01:00;20;20;20;21;20;21;21;21;21;21;
1690228860;24.07.2023;20:01:00;20;20;20;21;20;21;21;21;21;21;
1690232460;24.07.2023;21:01:00;20;20;20;21;20;21;21;21;21;21;
1690236060;24.07.2023;22:01:00;20;20;20;21;20;21;21;21;21;21;
1690239660;24.07.2023;23:01:00;20;20;20;21;20;21;21;21;21;21;
1690243260;25.07.2023;00:01:00;20;20;20;21;20;21;21;21;21;21;
1690246860;25.07.2023;01:01:00;20;20;20;21;20;21;21;21;21;21;
1690250460;25.07.2023;02:01:00;20;20;20;21;20;21;21;21;21;21;
1690254060;25.07.2023;03:01:00;20;20;20;21;20;21;21;21;21;21;
1690257660;25.07.2023;04:01:00;20;20;20;21;20;21;21;21;21;21;
1690261260;25.07.2023;05:01:00;20;20;20;21;20;21;21;21;21;21;
1690264860;25.07.2023;06:01:00;20;20;20;21;20;21;21;21;21;21;
1690268460;25.07.2023;07:01:00;20;20;20;21;20;21;21;21;21;21;
1690272060;25.07.2023;08:01:00;20;20;20;21;20;21;21;21;21;21;
1690275660;25.07.2023;09:01:00;20;20;20;21;20;21;21;21;21;21;
1690279260;25.07.2023;10:01:00;20;20;20;21;20;21;21;20;21;21;
1690282860;25.07.2023;11:01:00;20;20;20;21;20;21;21;21;21;21;
1690286460;25.07.2023;12:01:00;20;20;20;21;20;21;21;21;21;21;
1690290060;25.07.2023;13:01:00;20;20;20;21;20;21;21;21;21;21;
1690293660;25.07.2023;14:01:00;20;20;20;21;20;21;21;20;21;21;
